,equity
2015-10-19,10000.0
2015-10-20,9796.434539840002
2015-10-21,9709.284539840002
2015-10-22,9854.454539840002
2015-10-23,10452.544539840002
2015-10-26,10615.264539840004
2015-10-27,10656.064539840003
2015-10-28,10762.394539840003
2015-10-29,10921.014539840002
2015-10-30,10908.354539840002
2015-11-02,10948.674539840003
2015-11-03,10905.744539840001
2015-11-04,11179.814539840005
2015-11-05,11432.304539840003
2015-11-06,11479.026239840003
2015-11-09,11406.416239840002
2015-11-10,11476.316239840004
2015-11-11,11711.976239840002
2015-11-12,11585.004539840003
2015-11-13,11186.814539840003
2015-11-16,11282.154539840001
2015-11-17,11213.676239840004
2015-11-18,11563.004539840003
2015-11-19,11525.396239840002
2015-11-20,11650.954539840004
2015-11-23,11829.014539840004
2015-11-24,11692.164539840001
2015-11-25,11766.124539840004
2015-11-27,11730.834539840003
2015-11-30,11589.954539840002
2015-12-01,11838.744539840001
2015-12-02,11785.566239840002
2015-12-03,11614.324539840003
2015-12-04,11731.844539840002
2015-12-07,11682.674539840003
2015-12-08,11814.864539840004
2015-12-09,11596.294539840002
2015-12-10,11552.834539840003
2015-12-11,11167.826239840004
2015-12-14,11474.926239840004
2015-12-15,11492.586239840002
2015-12-16,11787.294539840002
2015-12-17,11697.874539840002
2015-12-18,11584.404539840001
2015-12-21,11592.584539840003
2015-12-22,11572.754539840002
2015-12-23,11579.514539840004
2015-12-24,11564.604539840004
2015-12-28,11776.346239840004
2015-12-29,12099.284539840002
2015-12-30,12014.936239840004
2015-12-31,11785.834539840002
2016-01-04,11116.904539840003
2016-01-05,11264.845108150004
2016-01-06,11262.395108150005
2016-01-07,11258.755108150004
2016-01-08,11262.008941915004
2016-01-11,11262.008941915004
2016-01-12,11262.008941915004
2016-01-13,11262.008941915004
2016-01-14,11262.008941915004
2016-01-15,11262.008941915004
2016-01-19,11262.008941915004
2016-01-20,11262.008941915004
2016-01-21,11262.008941915004
2016-01-22,11262.008941915004
2016-01-25,11262.008941915004
2016-01-26,11262.008941915004
2016-01-27,11262.008941915004
2016-01-28,11262.008941915004
2016-01-29,11262.008941915004
2016-02-01,11262.008941915004
2016-02-02,11262.008941915004
2016-02-03,11262.008941915004
2016-02-04,11262.008941915004
2016-02-05,11262.008941915004
2016-02-08,11262.008941915004
2016-02-09,11262.008941915004
2016-02-10,11262.008941915004
2016-02-11,11262.008941915004
2016-02-12,11262.008941915004
2016-02-16,11262.008941915004
2016-02-17,11262.008941915004
2016-02-18,11262.008941915004
2016-02-19,11262.008941915004
2016-02-22,11262.008941915004
2016-02-23,11262.008941915004
2016-02-24,11262.008941915004
2016-02-25,11262.008941915004
2016-02-26,11262.008941915004
2016-02-29,11262.008941915004
2016-03-01,11262.008941915004
2016-03-02,11399.615867760007
2016-03-03,11406.465867760005
2016-03-04,11289.145867760008
2016-03-07,11332.965867760007
2016-03-08,11189.875867760007
2016-03-09,11297.645867760006
2016-03-10,11422.295867760007
2016-03-11,11502.005867760006
2016-03-14,11453.735867760008
2016-03-15,11364.185867760007
2016-03-16,11477.265867760008
2016-03-17,11581.135867760007
2016-03-18,11715.025867760007
2016-03-21,11753.905867760006
2016-03-22,11711.675867760008
2016-03-23,11688.365867760007
2016-03-24,11649.805867760006
2016-03-28,11696.955867760009
2016-03-29,11883.665867760006
2016-03-30,12116.975867760008
2016-03-31,12139.015867760007
2016-04-01,12319.455867760007
2016-04-04,12176.405867760006
2016-04-05,12032.765867760007
2016-04-06,12040.035867760007
2016-04-07,11890.455867760007
2016-04-08,11892.175867760006
2016-04-11,11981.435867760008
2016-04-12,12034.295867760007
2016-04-13,12245.455867760007
2016-04-14,12274.145867760008
2016-04-15,12357.695867760007
2016-04-18,12384.845867760007
2016-04-19,12242.845867760007
2016-04-20,12134.095867760008
2016-04-21,11850.395867760006
2016-04-22,11815.30361113001
2016-04-25,11713.72361113001
2016-04-26,11742.52361113001
2016-04-27,11827.183611130009
2016-04-28,11590.063611130008
2016-04-29,11343.013611130009
2016-05-02,11343.239426410008
2016-05-03,11257.67942641001
2016-05-04,11154.141596410009
2016-05-05,11173.671596410008
2016-05-06,11207.151596410009
2016-05-09,11202.50159641001
2016-05-10,11265.74159641001
2016-05-11,11275.041596410008
2016-05-12,11229.471596410009
2016-05-13,11732.601596410008
2016-05-16,11845.131596410009
2016-05-17,11853.50159641001
2016-05-18,11953.941596410008
2016-05-19,11971.611596410008
2016-05-20,12044.151596410007
2016-05-23,12050.66159641001
2016-05-24,12150.655196410007
2016-05-25,12132.985196410009
2016-05-26,12119.41236842501
2016-05-27,12288.67236842501
2016-05-31,12345.762368425008
2016-06-01,12475.092368425008
2016-06-02,12536.622368425007
2016-06-03,12408.012368425007
2016-06-06,12295.72236842501
2016-06-07,12290.892368425008
2016-06-08,12322.302368425007
2016-06-09,12467.592368425008
2016-06-10,12301.15236842501
2016-06-13,12328.092368425008
2016-06-14,12283.662368425008
2016-06-15,12305.112368425007
2016-06-16,12325.272368425009
2016-06-17,12193.272368425009
2016-06-20,12309.642368425008
2016-06-21,12345.22236842501
2016-06-22,12361.242368425008
2016-06-23,12617.92236842501
2016-06-24,12000.252368425008
2016-06-27,11772.042368425009
2016-06-28,11944.13723417501
2016-06-29,12148.737234175009
2016-06-30,12201.26723417501
2016-07-01,12223.46723417501
2016-07-05,12263.161849820011
2016-07-06,12340.90184982001
2016-07-07,12449.581849820011
2016-07-08,12711.221849820009
2016-07-11,12866.431849820012
2016-07-12,12947.051849820009
2016-07-13,12869.27184982001
2016-07-14,13032.451849820012
2016-07-15,12961.03184982001
2016-07-18,13014.541849820009
2016-07-19,13101.691849820012
2016-07-20,13137.80768454001
2016-07-21,12996.96768454001
2016-07-22,13163.857684540011
2016-07-25,13374.987684540012
2016-07-26,13522.25768454001
2016-07-27,13502.207684540012
2016-07-28,13534.567684540012
2016-07-29,13596.607684540011
2016-08-01,13520.75768454001
2016-08-02,13351.747684540012
2016-08-03,13361.777684540011
2016-08-04,13483.217684540012
2016-08-05,13663.547684540012
2016-08-08,13672.847684540011
2016-08-09,13668.677684540013
2016-08-10,13660.617684540011
2016-08-11,13834.64768454001
2016-08-12,14270.467684540012
2016-08-15,14379.80768454001
2016-08-16,14326.013675870014
2016-08-17,14201.953675870012
2016-08-18,14244.35367587001
2016-08-19,14432.673675870012
2016-08-22,14497.073675870013
2016-08-23,14553.327275870011
2016-08-24,14239.007275870012
2016-08-25,14336.847275870012
2016-08-26,14652.37727587001
2016-08-29,14690.657275870011
2016-08-30,14559.36727587001
2016-08-31,14483.54727587001
2016-09-01,14771.627275870012
2016-09-02,14710.34727587001
2016-09-06,14991.647275870013
2016-09-07,14884.707275870012
2016-09-08,15060.727275870011
2016-09-09,14425.647275870011
2016-09-12,14970.85727587001
2016-09-13,14803.817275870013
2016-09-14,14972.047275870013
2016-09-15,15386.777275870012
2016-09-16,15414.517275870014
2016-09-19,15566.21727587001
2016-09-20,15407.087275870013
2016-09-21,15881.717275870013
2016-09-22,15927.687275870012
2016-09-23,15814.329835575016
2016-09-26,15731.079835575016
2016-09-27,16155.519835575014
2016-09-28,16136.919835575016
2016-09-29,16110.539835575015
2016-09-30,16289.419835575012
2016-10-03,16346.029835575013
2016-10-04,16384.439835575013
2016-10-05,16408.129835575015
2016-10-06,16385.999835575014
2016-10-07,16290.389835575013
2016-10-10,16491.999835575014
2016-10-11,15880.149835575012
2016-10-12,16075.854124075015
2016-10-13,15999.844124075013
2016-10-14,16100.084124075012
2016-10-17,16032.884124075012
2016-10-18,16294.664124075012
2016-10-19,16212.134124075013
2016-10-20,16337.734124075014
2016-10-21,16251.524124075015
2016-10-24,16642.014124075013
2016-10-25,16889.014124075016
2016-10-26,16857.684124075015
2016-10-27,16725.454124075015
2016-10-28,16656.677341795017
2016-10-31,16578.437341795012
2016-11-01,16102.307341795015
2016-11-02,15953.580874735013
2016-11-03,15875.489705935011
2016-11-04,15839.219705935011
2016-11-07,16183.319705935013
2016-11-08,16173.089705935014
2016-11-09,16061.489705935011
2016-11-10,15700.912798555011
2016-11-11,17832.112798555012
2016-11-14,17494.50279855501
2016-11-15,17992.372798555014
2016-11-16,18417.016214180014
2016-11-17,18767.086214180013
2016-11-18,18914.55621418001
2016-11-21,18923.526214180016
2016-11-22,18880.05621418001
2016-11-23,18935.776214180012
2016-11-25,19016.353168600017
2016-11-28,19011.083168600017
2016-11-29,18794.333168600017
2016-11-30,18799.963168600018
2016-12-01,17849.713168600018
2016-12-02,18101.603168600017
2016-12-05,18408.023168600015
2016-12-06,18667.823168600018
2016-12-07,19331.663168600015
2016-12-08,19114.83316860002
2016-12-09,18936.02316860002
2016-12-12,18574.16316860002
2016-12-13,18955.993168600016
2016-12-14,19338.833168600017
2016-12-15,19670.573168600018
2016-12-16,19638.813168600016
2016-12-19,19803.233168600018
2016-12-20,20219.00316860002
2016-12-21,20280.073168600018
2016-12-22,21112.12316860002
2016-12-23,21390.26316860002
2016-12-27,22135.413168600022
2016-12-28,21172.97316860002
2016-12-29,21144.323168600018
2016-12-30,20632.803168600018
2017-01-03,20540.10316860002
2017-01-04,20547.667247960017
2017-01-05,20472.117247960017
2017-01-06,20383.457247960017
2017-01-09,20418.616647960018
2017-01-10,20398.35724796002
2017-01-11,20391.616647960018
2017-01-12,20244.016647960016
2017-01-13,20229.127247960016
2017-01-17,19872.512015080018
2017-01-18,20094.892615080018
2017-01-19,20287.09261508002
2017-01-20,20269.163215080018
2017-01-23,20282.582615080017
2017-01-24,20546.993215080016
2017-01-25,21548.422015080017
2017-01-26,21655.852615080017
2017-01-27,21874.192615080017
2017-01-30,21474.872615080018
2017-01-31,21237.43125021867
2017-02-01,21417.46725021867
2017-02-02,21223.09725021867
2017-02-03,21504.91725021867
2017-02-06,21552.85185021867
2017-02-07,21772.03185021867
2017-02-08,21814.937250218667
2017-02-09,21822.19725021867
2017-02-10,21835.60185021867
2017-02-13,22052.89455021867
2017-02-14,22076.147250218673
2017-02-15,21894.79515021867
2017-02-16,21937.57725021867
2017-02-17,22156.397250218673
2017-02-21,22312.965150218668
2017-02-22,22130.53725021867
2017-02-23,21979.18395021867
2017-02-24,22269.107250218673
2017-02-27,22345.66995021867
2017-02-28,22362.80055021867
2017-03-01,22742.59455021867
2017-03-02,22448.98935021867
2017-03-03,22762.244550218667
2017-03-06,22803.88995021867
2017-03-07,22334.14995021867
2017-03-08,22052.71185021867
2017-03-09,21840.82455021867
2017-03-10,21990.97125021867
2017-03-13,22122.49935021867
2017-03-14,21933.641250218672
2017-03-15,22023.28185021867
2017-03-16,21932.327250218666
2017-03-17,21650.98725021867
2017-03-20,21628.607850218672
2017-03-21,21004.27725021867
2017-03-22,21371.032576967325
2017-03-23,21159.462576967326
2017-03-24,21243.34257696733
2017-03-27,21381.932576967327
2017-03-28,21278.322576967326
2017-03-29,21214.252576967327
2017-03-30,21535.662576967326
2017-03-31,21373.55257696733
2017-04-03,21283.137805367325
2017-04-04,20018.18460536733
2017-04-05,19672.54421716233
2017-04-06,19806.88341716233
2017-04-07,19933.30341716233
2017-04-10,20154.59541716233
2017-04-11,20105.547417162332
2017-04-12,19760.293417162327
2017-04-13,19909.58741716233
2017-04-17,19870.425417162325
2017-04-18,19800.624217162327
2017-04-19,19925.21541716233
2017-04-20,19906.58341716233
2017-04-21,19937.226617162327
2017-04-24,19807.76741788273
2017-04-25,20137.047417882728
2017-04-26,19948.73941788273
2017-04-27,20035.26821788273
2017-04-28,20194.67861788273
2017-05-01,20491.60021788273
2017-05-02,20378.14821788273
2017-05-03,20256.80901788273
2017-05-04,19920.16421788273
2017-05-05,20166.84179755873
2017-05-08,20003.14179755873
2017-05-09,19968.37859755873
2017-05-10,19969.261797558735
2017-05-11,20053.64179755873
2017-05-12,20053.96479755873
2017-05-15,19875.52259755873
2017-05-16,19827.76179755873
2017-05-17,19385.92179755873
2017-05-18,19310.96660784873
2017-05-19,19328.56340784873
2017-05-22,19370.80660784873
2017-05-23,19372.40660784873
2017-05-24,19425.849807848732
