trade_no,trade_id,symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,entry_cost,exit_proceeds,pnl_cash,pnl_pct,exit_reason,pnl_pct_display,pnl_value,pnl_value_rank
110,110,WDC,2026-01-28,2026-05-11,263.58172499999995,488.785485,6060.0,757.5,1598902.5587534995,2959077.9990609,1360932.9403074004,0.8511669037345093,Leader rotation,+85.12%,1360932.9403074004,1.0
111,111,MU,2026-05-11,2026-05-27,793.37649,955.18217,3727.0,0.0,2959871.09240823,3556403.98364241,596532.89123418,0.20154015921984803,Leader rotation,+20.15%,596532.89123418,2.0
103,103,PLTR,2025-04-28,2025-08-20,113.83689,152.22385000000003,9884.0,0.0,1126288.98458076,1503075.9528666004,376786.96828584047,0.3345384474536901,Supertrend down,+33.45%,376786.96828584047,3.0
101,101,PLTR,2025-01-24,2025-02-05,79.089525,101.72911,12771.0,0.0,1011062.3760987748,1297883.28134619,286820.9052474152,0.2836827005215299,Leader rotation,+28.37%,286820.9052474152,4.0
78,78,NVDA,2023-03-22,2023-06-13,264.382125,401.65907000000004,1924.0,76.96000000000001,509179.8797084999,772019.2586293201,262916.33892082016,0.5163525689022452,Leader rotation,+51.64%,262916.33892082016,5.0
90,90,NVDA,2024-05-07,2024-06-25,91.143549,121.13940000000001,6370.0,63.7,581164.9915371299,770886.320022,189785.0284848701,0.32655963667547416,Supertrend down,+32.66%,189785.0284848701,6.0
108,108,AMD,2025-10-09,2025-10-29,236.41815,264.057905,6808.0,0.0,1611144.2999651998,1795908.51102276,184764.2110575603,0.1146788720672327,Leader rotation,+11.47%,184764.2110575603,7.0
75,75,PDD,2022-11-14,2023-01-17,67.623795,94.4577475,5351.0,0.0,362216.78197204496,504937.96346562746,142721.1814935825,0.3940214495765615,Leader rotation,+39.40%,142721.1814935825,8.0
59,59,TSLA,2020-11-19,2021-02-16,492.246,817.5910999500001,440.0,0.0,216804.82823999997,359380.34389402205,142575.51565402208,0.6576214967694027,Leader rotation,+65.76%,142575.51565402208,9.0
97,97,TSLA,2024-11-08,2024-11-19,299.28956999999997,335.59212,2806.0,0.0,840646.3399534198,940729.81723128,100083.47727786028,0.11905538931318715,Leader rotation,+11.91%,100083.47727786028,10.0
