trade_no,trade_id,symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,entry_cost,exit_proceeds,pnl_cash,pnl_pct,exit_reason,pnl_pct_display,pnl_value,pnl_value_rank
1,1,AMZN,2015-10-20,2015-11-05,572.286,646.7764500000001,17.0,0.0,9738.590861999997,10984.20445035,1245.6135883500028,0.12790491006356874,Leader rotation,+12.79%,1245.6135883500028,59.0
2,2,NFLX,2015-11-05,2015-12-02,113.80687499999999,125.467235,98.0,0.0,11164.226823749997,12283.49324097,1119.266417220002,0.10025471847624523,Leader rotation,+10.03%,1119.266417220002,61.0
3,3,ATVI,2015-12-02,2016-01-08,38.589285,36.771605,320.0,0.0,12360.919771199997,11755.1466864,-605.7730847999974,-0.04900712050663114,Supertrend down,-4.90%,-605.7730847999974,86.0
4,4,NVDA,2016-03-02,2016-03-18,32.586285,33.193395,360.0,0.0,11742.793662599997,11937.672577800002,194.87891520000449,0.01659561777200258,Leader rotation,+1.66%,194.87891520000449,77.0
5,5,MAT,2016-03-18,2016-03-31,32.946464999999996,33.493245,362.0,0.0,11938.546950329997,12112.43013531,173.88318498000262,0.014564853302788006,Leader rotation,+1.46%,173.88318498000262,79.0
6,6,CTRP,2016-03-31,2016-05-02,45.07252499999999,43.53822,268.0,0.0,12091.516136699996,11656.57471704,-434.9414196599955,-0.03597079264029324,Supertrend down,-3.60%,-434.9414196599955,85.0
7,7,NVDA,2016-05-26,2017-01-04,45.272625,103.34830000000001,258.0,65.8416,11692.017587249997,26637.1975386,15011.021551350004,1.2838692243945427,Supertrend down,+128.39%,15011.021551350004,30.0
8,8,STX,2017-01-04,2017-02-02,39.74986499999999,44.267855000000004,671.0,0.0,26698.83157441499,29674.026974295,2975.195399880009,0.11143541587531813,Leader rotation,+11.14%,2975.195399880009,54.0
9,9,NVDA,2017-02-02,2017-02-14,113.35664999999999,107.936005,261.0,0.0,29615.671735649994,28143.126007695,-1472.5457279549955,-0.04972184122983825,Supertrend down,-4.97%,-1472.5457279549955,88.0
10,10,STX,2017-02-14,2017-02-15,47.673824999999994,47.906035,591.0,0.0,28203.405805574996,28284.154218315,80.74841274000573,0.0028630731088528094,Leader rotation,+0.29%,80.74841274000573,81.0
11,11,CSX,2017-02-15,2017-02-17,47.01339495,47.50613505,601.0,0.0,28283.305415314946,28522.63597788495,239.330562570005,0.00846190213822795,Leader rotation,+0.85%,239.330562570005,75.0
12,12,MU,2017-02-17,2017-03-01,23.021505,24.147920000000003,1237.0,0.0,28506.079286685,29841.106062960003,1335.0267762750045,0.04683305490203238,Leader rotation,+4.68%,1335.0267762750045,58.0
13,13,CSX,2017-03-01,2017-03-06,49.224700049999996,49.09544,606.0,0.0,29859.998398530293,29722.08480336,-137.91359517029196,-0.004618673897085035,Leader rotation,-0.46%,-137.91359517029196,83.0
14,14,MU,2017-03-06,2017-03-21,25.512749999999997,26.28685,1163.0,0.0,29700.99957824999,30541.034943450002,840.0353652000122,0.02828306714010953,Leader rotation,+2.83%,840.0353652000122,64.0
15,15,INCY,2017-03-21,2017-04-03,148.43418,134.9325,205.0,0.0,30459.4359069,27633.5013375,-2825.9345693999967,-0.0927769830681544,Supertrend down,-9.28%,-2825.9345693999967,93.0
16,16,WDC,2017-04-03,2017-04-21,82.64129999999999,84.60767500000001,335.0,0.0,27712.520335499994,28315.227553875007,602.7072183750133,0.02174855303950607,Leader rotation,+2.17%,602.7072183750133,69.0
17,17,CSX,2017-04-21,2017-05-12,49.85501505,52.044164900000006,567.0,0.0,28296.061326883348,29479.532456801706,1183.4711299183582,0.04182458880925499,Leader rotation,+4.18%,1183.4711299183582,60.0
18,18,NVDA,2017-05-12,2017-07-05,126.69331499999998,141.82905000000002,232.0,32.480000000000004,29422.24192907999,32871.43526040001,3481.67333132002,0.11833473940267103,Supertrend down,+11.83%,3481.67333132002,53.0
19,19,NVDA,2017-07-18,2017-07-20,161.86088999999998,165.847035,203.0,0.0,32890.618430669994,33633.281156895006,742.6627262250113,0.02257977385832577,Leader rotation,+2.26%,742.6627262250113,66.0
20,20,VRTX,2017-07-20,2017-10-26,160.01997,144.80756,210.0,0.0,33637.7978937,30379.1780124,-3258.619881300001,-0.09687375765790851,Supertrend down,-9.69%,-3258.619881300001,95.0
21,21,NVDA,2017-10-26,2017-10-30,194.87739,201.75907000000004,156.0,0.0,30431.273712839997,31442.940505080005,1011.6667922400084,0.03324431312952747,Leader rotation,+3.32%,1011.6667922400084,63.0
22,22,ALGN,2017-10-30,2017-12-05,234.46717499999997,224.90749000000002,134.0,0.0,31450.020051449992,30107.466056340003,-1342.553995109989,-0.04268849409042241,Supertrend down,-4.27%,-1342.553995109989,87.0
23,23,DLTR,2017-12-19,2018-01-08,109.57475999999998,110.70462,274.0,0.0,30053.50772423999,30302.73281412,249.2250898800121,0.008292712190763663,Leader rotation,+0.83%,249.2250898800121,74.0
24,24,TTWO,2018-01-08,2018-01-09,116.55824999999999,117.711115,260.0,0.0,30335.450144999995,30574.2850101,238.83486510000512,0.007873127445229944,Leader rotation,+0.79%,238.83486510000512,76.0
25,25,ALGN,2018-01-09,2018-02-06,250.125,232.593645,122.0,0.0,30545.765249999997,28348.04826531,-2197.716984689996,-0.07194833610167928,Supertrend down,-7.19%,-2197.716984689996,90.0
26,26,NVDA,2018-02-16,2018-02-27,245.5227,245.37725,115.0,17.25,28263.345610499997,28190.16536625,-55.930244249997486,-0.0019788968022673714,Leader rotation,-0.20%,-55.930244249997486,82.0
27,27,ALGN,2018-02-27,2018-03-09,265.61274000000003,269.865,106.0,0.0,28183.10539044,28577.084310000002,393.9789195600024,0.013979258641017012,Leader rotation,+1.40%,393.9789195600024,71.0
28,28,MU,2018-03-09,2018-03-26,55.787879999999994,56.23187,515.0,0.0,28759.488958199992,28930.45363695,170.964678750006,0.005944635490515493,Supertrend down,+0.59%,170.964678750006,80.0
29,29,NFLX,2018-05-11,2018-07-18,329.814825,381.04938000000004,87.0,0.0,28722.583664774997,33118.14476394,4395.561099165003,0.15303501768734207,Supertrend down,+15.30%,4395.561099165003,51.0
30,30,AMZN,2018-07-18,2018-07-26,1848.924,1838.0805,18.0,0.0,33313.91263199999,33052.363551,-261.5490809999901,-0.007851046614943624,Leader rotation,-0.79%,-261.5490809999901,84.0
31,31,ALGN,2018-07-26,2018-08-30,377.798805,382.88846,87.0,0.0,32901.364531035,33277.98472398,376.6201929450035,0.011446947514585526,Leader rotation,+1.14%,376.6201929450035,72.0
32,32,AMZN,2018-08-30,2018-09-04,1998.41871,2025.48675,16.0,0.0,32006.674059359993,32375.380212,368.7061526400066,0.011519664678566688,Leader rotation,+1.15%,368.7061526400066,73.0
33,33,ILMN,2018-09-04,2018-10-05,354.35708999999997,333.833,95.0,0.0,33697.58747355,31682.420865000004,-2015.1666085499928,-0.059801509830095245,Supertrend down,-5.98%,-2015.1666085499928,89.0
34,34,XLNX,2018-12-04,2018-12-20,93.96696,84.70762500000001,338.0,0.0,31792.593312479996,28602.54607275,-3190.0472397299964,-0.1003393214380458,Supertrend down,-10.03%,-3190.0472397299964,94.0
